[2018-03-27 00:23:00,637][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b3
[2018-03-27 00:23:02,316][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b4
[2018-03-27 00:23:03,311][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b5
[2018-03-27 00:23:04,182][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b6
[2018-03-27 00:23:04,688][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b7
[2018-03-27 00:23:05,048][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b8
[2018-03-27 00:23:05,427][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b10
[2018-03-27 00:23:05,762][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b11
[2018-03-27 00:23:06,331][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b10
[2018-03-27 00:23:07,021][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b9
[2018-03-27 00:23:07,490][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b7
[2018-03-27 00:23:07,811][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b4
[2018-03-27 00:23:08,120][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b3
[2018-04-01 22:57:22,585][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:56] localPath=D:\我的坚果云\98技术学习\JavaFX\XMDP\git\xmdp\src\xmdp.ui
[2018-04-01 22:57:22,590][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsManager:26] ==================AddonsManager created==================
[2018-04-01 22:57:22,723][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsManager:41] ============= Starting the Addons Search=============
[2018-04-01 22:57:22,726][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsManager:48] Found 1 addons
[2018-04-01 22:57:22,726][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsManager:51] Found a addon jar:xmdp.addon.test-1.0.0.jar
[2018-04-01 22:57:22,728][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:64] =============Core configuration loading=============
[2018-04-01 22:57:23,441][JavaFX Application Thread][INFO][net.javafxchina.xmdp.ui.dk.XMDPEntryFactory:61] XMDPEntryFactory初始化成功
[2018-04-01 22:57:23,441][JavaFX Application Thread][INFO][net.javafxchina.xmdp.ui.dk.XMDPController:81] XMDPController初始化成功
[2018-04-01 22:57:23,450][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.test.TestAnnotationAddon:19] =================TestAnnotationAddon init!=======================
[2018-04-01 22:57:23,480][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:69] =============Loading addons=============
